judge,A,B,choseA,choseB
4,45,103,0,1
4,45,145,1,0
4,145,15,0,1
4,15,8,1,0
4,122,8,0,1
4,127,122,1,0
4,74,127,0,1
4,107,74,1,0
4,88,107,0,1
4,88,77,1,0
4,77,56,0,1
4,56,109,1,0
4,73,109,0,1
4,143,73,1,0
4,94,143,0,1
4,53,94,1,0
4,110,53,0,1
4,110,147,1,0
4,147,31,0,1
5,3,28,1,0
5,48,3,0,1
5,21,48,1,0
5,22,21,0,1
5,22,29,1,0
5,117,29,0,1
5,133,117,1,0
5,133,12,0,1
5,12,9,1,0
5,144,9,0,1
5,144,88,1,0
5,88,84,0,1
5,84,17,1,0
5,17,64,0,1
5,112,106,1,0
5,112,105,0,1
5,105,144,1,0
5,93,144,0,1
5,56,93,1,0
5,56,116,0,1
5,58,116,1,0
5,74,58,0,1
5,29,127,1,0
5,118,29,0,1
5,118,57,1,0
5,57,22,0,1
5,31,22,1,0
5,102,31,0,1
5,53,102,1,0
5,114,53,0,1
5,54,114,1,0
5,136,54,0,1
5,136,47,1,0
5,47,2,0,1
5,2,41,1,0
5,49,41,0,1
5,45,49,1,0
5,45,9,0,1
5,9,121,1,0
5,121,104,0,1
5,104,87,1,0
5,87,88,0,1
5,19,88,1,0
5,3,19,0,1
5,3,140,1,0
5,113,140,0,1
5,113,146,1,0
5,146,51,0,1
5,107,51,1,0
5,99,69,0,1
5,110,99,1,0
5,92,110,0,1
5,134,92,1,0
5,104,134,0,1
5,104,71,1,0
5,17,71,0,1
5,149,17,1,0
5,120,149,0,1
5,151,120,1,0
5,132,151,0,1
5,118,132,1,0
5,77,118,0,1
5,68,77,1,0
5,68,111,0,1
5,111,67,1,0
5,32,67,0,1
5,33,32,1,0
5,59,33,0,1
5,59,109,1,0
5,109,19,0,1
5,19,145,1,0
5,145,56,0,1
5,60,56,1,0
5,114,60,0,1
5,31,114,1,0
5,61,31,0,1
5,61,26,1,0
5,26,10,0,1
5,152,10,1,0
5,135,152,0,1
5,117,135,1,0
5,117,124,0,1
5,124,121,1,0
5,121,147,0,1
5,147,22,1,0
5,87,22,0,1
5,140,87,1,0
5,34,140,0,1
5,15,34,1,0
5,127,15,0,1
5,127,103,1,0
5,55,103,0,1
5,55,98,1,0
5,98,72,0,1
5,46,72,1,0
5,144,46,0,1
5,21,144,1,0
5,29,21,0,1
5,29,54,1,0
5,91,54,0,1
5,91,58,1,0
5,131,58,0,1
5,27,131,1,0
5,139,27,0,1
5,62,139,1,0
5,62,64,0,1
5,50,64,1,0
5,148,50,0,1
5,116,148,1,0
5,3,116,0,1
5,3,143,1,0
5,9,143,0,1
5,112,9,1,0
5,40,112,0,1
5,96,40,1,0
5,89,96,0,1
5,5,89,1,0
5,5,30,0,1
5,105,30,1,0
5,28,105,0,1
5,126,28,1,0
5,79,126,0,1
5,79,74,1,0
5,95,74,0,1
5,95,86,1,0
5,86,81,0,1
5,81,38,1,0
5,70,38,0,1
5,137,70,1,0
5,137,14,0,1
5,14,97,1,0
5,23,97,0,1
5,2,23,1,0
5,75,2,0,1
5,8,75,1,0
5,8,125,0,1
5,125,36,1,0
5,36,94,0,1
5,71,132,1,0
5,132,22,0,1
5,22,107,1,0
5,107,27,0,1
5,27,23,1,0
5,23,102,0,1
5,102,142,1,0
5,43,142,0,1
5,89,43,1,0
5,98,89,0,1
5,12,98,1,0
5,144,137,0,1
5,119,144,1,0
5,80,119,0,1
5,80,45,1,0
